Borough,District,Number,Tract,Total,White,Black_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_Other_Race,Multiple,Hispanic
Brooklyn,047,3,031100,"2,833",119,"2,311",3,48,0,18,62,272
Brooklyn,047,3,031300,"4,648",246,"3,800",11,58,2,16,109,406
Brooklyn,047,3,031400,"4,544","2,989",38,6,979,0,13,58,461
Brooklyn,047,3,031500,"5,175",518,"3,920",5,89,0,18,126,499
Brooklyn,047,3,031701,"3,433",304,"2,737",10,84,0,12,68,218
Brooklyn,047,3,031702,"3,363",494,"2,353",4,51,2,24,101,334
Brooklyn,047,3,031900,"3,508",906,"2,261",6,45,0,8,58,224
Brooklyn,047,3,032100,"5,001",332,"3,582",13,57,3,13,87,914
Brooklyn,047,3,032300,"3,554",244,"2,724",6,31,1,8,71,469
Brooklyn,047,3,032500,"6,405",286,"5,470",14,50,3,30,110,442
Brooklyn,047,3,032600,"6,948",949,"2,717",23,778,0,19,83,"2,379"
Brooklyn,047,3,032700,"2,924",323,"2,110",7,48,0,6,73,357
Brooklyn,047,3,032800,"3,138",266,"1,173",9,"1,003",0,5,77,605
Brooklyn,047,3,032900,"5,582","1,167","3,461",14,41,3,20,90,786
Brooklyn,047,3,033000,"4,587",858,"2,262",11,148,0,9,66,"1,233"
Brooklyn,047,3,033100,"4,520","2,681","1,538",8,11,1,22,37,222
Brooklyn,047,3,033300,"4,085","2,621","1,215",5,11,0,9,37,187
Brooklyn,047,3,033500,"3,139","1,919","1,068",2,10,0,6,25,109
Brooklyn,047,3,033600,"4,759","3,675",262,11,199,2,16,96,498
Brooklyn,047,3,033700,"4,105","1,929","1,850",4,13,1,4,49,255
Brooklyn,047,3,033900,"4,376",375,"3,443",13,94,1,24,85,341
Brooklyn,047,3,034000,"2,248",865,742,4,24,0,4,30,579
Brooklyn,047,3,034100,"2,607",185,"2,099",9,12,1,13,64,224
Brooklyn,047,3,034200,"6,502","1,829","2,809",9,191,2,5,85,"1,572"
Brooklyn,047,3,034300,"5,281",105,"3,960",20,62,1,10,88,"1,035"
Brooklyn,047,3,034500,"2,647",32,"2,332",12,8,1,4,66,192
Brooklyn,047,3,034700,"3,228",52,"2,665",16,12,0,18,43,422
Brooklyn,047,3,034800,"2,537",676,118,2,415,0,7,17,"1,302"
Brooklyn,047,3,034900,"5,403",201,"4,495",13,17,0,17,99,561
Brooklyn,047,3,035000,"3,296","3,190",28,0,27,0,2,19,30
Brooklyn,047,3,035100,"4,597",749,"3,161",6,44,0,20,47,570
Brooklyn,047,3,035200,"1,246",762,224,9,35,0,2,13,201
Brooklyn,047,3,035300,"5,161",690,"3,688",13,12,0,24,62,672
Brooklyn,047,3,035400,"6,271","5,921",130,2,28,1,2,38,149
Brooklyn,047,3,035500,"5,253",781,"3,908",12,19,4,20,75,434
Brooklyn,047,3,035601,"2,912","2,672",121,4,8,0,5,14,88
Brooklyn,047,3,035602,"5,271","4,999",65,0,24,0,5,46,132
Brooklyn,047,3,035700,"2,506",28,"1,956",10,9,0,2,36,465
Brooklyn,047,3,035900,"5,685",89,"4,758",10,29,0,11,83,705
Brooklyn,047,3,036001,"3,217","3,021",14,0,23,0,9,22,128
Brooklyn,047,3,036002,"3,930","3,601",27,0,65,0,8,34,195
